14/06/2019, 19:21:19; Course1; 1_system_design; ; False; 1.801993; ['sequence diagram', 'message sequence diagram']
14/06/2019, 19:21:24; Course1; 2_computer_science; ; False; 4.403598; ['DB']
14/06/2019, 19:21:31; Course2; 3_inference; ; False; 1.800767; ['3']
14/06/2019, 19:21:35; Course2; 4_math; ; False; 1.606314; ['r']
14/06/2019, 19:21:40; Course1; 1_system_design; ; False; 11.184225; ['sequence diagram', 'message sequence diagram']
14/06/2019, 19:22:45; Course1; 1_system_design; ; False; 1.014711; ['sequence diagram', 'message sequence diagram']
14/06/2019, 19:22:48; Course1; 2_computer_science; ; False; 0.902065; ['DB']
14/06/2019, 19:23:49; Course1; 1_system_design; sequence; False; 7.103514; ['sequence diagram', 'message sequence diagram']
14/06/2019, 19:24:05; Course1; 2_computer_science; DB; True; 3.500243; ['DB']
14/06/2019, 19:26:02; Course2; 3_inference; 3; True; 9.503479; ['3']
14/06/2019, 19:27:16; Course1; 1_system_design; sequence; True; 2.597798; ['sequence', 'sequence diagram', 'message sequence diagram']
14/06/2019, 19:28:34; Course1; 1_system_design; dhfsjd; False; 2.499994; ['sequence', 'sequence diagram', 'message sequence diagram']
14/06/2019, 19:30:59; Course2; 3_inference; 3; True; 2.303367; ['3']
14/06/2019, 19:32:13; Course2; 3_inference; 3; True; 1.094333; ['3']
